taxa_name	pectoral_fin	pectoral_fin_inferred
Ameiurus_brunneus	1	2
Pangio_kuhlii	1	2
Eumicrotremus_spinosus	1	2
Pseudotatia_parva	1	2
Xyliphius_melanopterus	1	2
Hypostomus_hondae	1	2
Aphanotorulus_unicolor	1	2
Chologaster_cornuta	1	1
Percophidae	1	2
Tatia_brunnea	1	2
Hoplunnis	1	1
Silurus_aristotelis	1	2
Luxilus_chrysocephalus	1	2
Malapterurus_beninensis	1	2
Oryzias_minutillus	1	2
Notropis_imeldae	1	2
Ophisternon_bengalense	0	0
Diodontidae	1	1
Mastacembelus_flavidus	1	1
Cobitis_taenia	1	2
Hoplomyzon_atrizona	1	2
Corydoras_osteocarus	1	2
Ophisternon_candidum	0	0
Notropis_harperi	1	2
Lipopterichthys_carrioni	1	2
Chrysichthys_wagenaari	1	2
Barbus_barbus	1	2
Curimata_macrops	1	2
Andersonia_leptura	1	2
Alestes_macrophthalmus	1	2
Paracetopsis_bleekeri	1	2
Scopelosaurus_hoedti	1	2
Amblycipitidae	1	2
Cretatriacanthus_guidottii	1	2
Bathysaurus_ferox	1	2
Chrysichthys_aluuensis	1	2
Channichthys_rhinoceratus	1	2
Scopelarchoides_nicholsi	1	2
Saccopharyngidae	1	1
Leptodoras_sp._Friel_1994	1	2
Poeciliidae	1	2
Pinirampus_pirinampu	1	2
Pangasius_macronema	1	2
Artedidraco_orianae	1	2
Loricariidae_sp._Mo_1991	1	2
Hypsidoris_farsonensis	1	2
Pterodoras_rivasi	1	2
Synodontis_longirostris	1	2
Myoglanis_potaroensis	1	2
Acestridium_discus	1	2
Adontosternarchus_sachsi	1	2
Dekeyseria_pulchra	1	2
Rhodichthys_regina	1	1
Notropis_simus	1	2
Silurus_soldatovi	1	2
Champsocephalus_gunnari	1	2
Planiloricaria_sp._Britto_2003	1	2
Acanthocharax_microlepis	1	2
Apodocreedia_vanderhorsti	1	1
Platydoras_sp._Royero_1999	1	2
Liobagrus_reinii	1	2
Notropis_semperasper	1	2
Chiloglanis_sp._A_Vigliotta_2008	1	2
Lithoxus_lithoides	1	2
Pseudobunocephalus_iheringii	1	2
Pseudobagarius_macronemus	1	2
Anaethalion_cf._A._subovatus_Arratia_1999	1	2
Bagrus_docmak	1	2
Neblinichthys_pilosus	1	2
Eremophilus_mutisii	1	1
Centromochlus_n._sp._Royero_1999	1	2
Hemipsilichthys_gobio	1	2
Characiformes	1	2
Lestidium_atlanticum	1	2
Alosa_pseudoharengus	1	2
Hime_japonica	1	2
Leiocassis_doriae	1	2
Gastromyzon_borneensis	1	2
Chrysichthys_mabusi	1	2
Aphanius_apodus	1	1
Cetopsis_motatanensis	1	2
Austroglanis_sclateri	1	2
Papyrocranus_afer	1	1
Nototheniidae	1	2
Tautoga	1	2
Triacanthodidae	1	1
Hemibagrus_baramensis	1	2
Centromochlus_perugiae	1	2
Bagrichthys_micranodus	1	2
Chrysichthys_johnelsi	1	2
Oncorhynchus_mykiss	1	2
Auchenipterus_dentatus	1	2
Cyprinella_formosa	1	2
Corydoras_ephippifer	1	2
Astyanax	1	2
Paraliparis	1	1
Notropis_blennius	1	2
Ophisternon_infernale	0	0
Doradidae	1	2
Rhabdolichops_electrogrammus	1	2
Alabes_parvula	0	0
Apteronotus_cuchillo	1	2
Pteronotropis_hypselopterus	1	2
Acestrorhynchus_isalineae	1	2
Careproctus_rastrinus	1	2
Liparidae	1	1
Pseudobagrus_taphraphilus	1	2
Pseudobagrus_medianalis	1	2
Odacidae	1	1
Heterobranchus_longifilis	1	2
Ctenolucius_hujeta	1	2
Molidae	1	1
Heterenchelyidae	0	0
Ctenolucius_sp._Fink_and_Fink_1981	1	2
Erimystax	1	2
Saurida_undosquamis	1	2
Gagata_itchkeea	1	2
Cyprinella_venusta	1	2
Scobinancistrus_pariolispos	1	2
Rhinodoras_sp._Vigliotta_2008	1	2
Oryzias_nebulosus	1	2
Alepisauridae	1	2
Corydoras_aeneus	1	2
Notoglanidium_thomasi	1	2
Orinocodoras_sp._Royero_1999	1	2
Monacanthidae	1	1
Siluriformes	1	2
Dissostichus_mawsoni	1	2
Liobagrus_formosanus	1	2
Nocomis_micropogon	1	2
Gymnotus_cylindricus	1	2
Pagetopsis_macropterus	1	2
Muraenichthys	0	0
Phoxinus_oreas	1	2
Chaca_chaca	1	2
Hypostomus_sp._round_snout_2_Armbruster_2004	1	2
Oreosoma_atlanticum	1	2
Macrurocyttus	1	2
Pseudancistrus_sp._gold_spot_Armbruster_2004	1	2
Pterygoplichthys_sp._Schaefer_1987	1	2
Hemiarius_dioctes	1	2
Astroblepus_sp._Britto_2003	1	2
Ailia_coila	1	2
Parotocinclus_jimi	1	2
Hassar_affinis	1	2
Schistura_fasciolata	1	2
Glyptothorax_laosensis	1	2
Imparfinis_pristos	1	2
Synodontis_ornatipinnis	1	2
Paracheilinus	1	2
Lindbergichthys_nudifrons	1	2
Baryancistrus_niveatus	1	2
Phractocephalus_hemioliopterus	1	2
Asterophysus_batrachus	1	2
Achiropsettidae	?	?
Chiloglanis_neumanni	1	2
Hypancistrus_zebra	1	2
Malapterurus_monsembeensis	1	2
Linophrynidae	1	1
Saccodon_wagneri	1	2
Cryodraco_antarcticus	1	2
Anchoa_compressa	1	2
Odontognathus_compressus	1	1
Trichomycterus_reinhardti	1	2
Notropis_amoenus	1	2
Plotosus_canius	1	2
Eigenmannia_humboldtii	1	2
Hoplias_microlepis	1	2
Rita_sp._Kailola_2004	1	2
Capromimus_abbreviatus	1	2
Boraras_merah	1	2
Sturisoma_festivum	1	2
Cynopotamus_argenteus	1	2
Triglidae	1	1
Acrocheilus_alutaceus	1	2
Rivulus_nudiventris	1	1
Pseudancistrus_brevispinis	1	2
Cheirodon_interruptus	1	2
Ameiurus_nebulosus	1	2
Grasseichthys_gabonensis	1	2
Ancistrus_sp._Armbruster_2004	1	2
Notropis_jemezanus	1	2
Coregonus_sp._Fink_and_Fink_1981	1	2
Panaque_nigrolineatus	1	2
Pillaia_indica	1	1
Malapteruridae	1	2
Cyprinella_lutrensis	1	2
Pachythrissops_laevis	1	2
Boraras_urophthalmoides	1	2
Brycinus_intermedius	1	2
Hemiancistrus_holostictus	1	2
Laides_hexanema	1	2
Nipponocypris_temminckii	1	2
Atopochilus_savorgnani	1	2
Aspidoras_belenos	1	2
Xyliphius_cf._lepturus_Friel_1994	1	2
Liparis_inquilinus	1	2
Peckoltia_ucayalensis	1	2
Centromochlus_existimatus	1	2
Microrasbora_rubescens	1	2
Rhamdiopsis_microcephala	1	2
Ammodytidae	1	1
Salminus_hilarii	1	2
Chrysichthys_brevibarbis	1	2
Desmodema_polystictum	1	1
Chionobathyscus_dewitti	1	2
Pterygoplichthys_multiradiatus	1	2
Bunocephalus_amaurus	1	2
Phreatobius_cisternarum	1	2
Semotilus_corporalis	1	2
Zoarcidae	1	1
Sturisoma_lyra	1	2
Nessorhamphus_danae	1	1
Silurus_asotus	1	2
Vitiaziella_cubiceps	1	1
Bryconamericus_iheringii	1	2
Corydoras_ellisae	1	2
Neblinichthys_roraima	1	2
Otothyris_lophophanes	1	2
Hyalobagrus_ornatus	1	2
Lacantuniidae	1	2
Melamphaes_suborbitalis	1	2
Conta_conta	1	2
Mystus_armatus	1	2
Chlorophthalmus_agassizi	1	2
Parahollardia_lineata	1	2
Ancistrus_cirrhosus	1	2
Cyprinodontidae	1	1
Cetomimidae	1	2
Plagopterus_argentissimus	1	2
Nemacheilus_masyai	1	2
Ichthyborus_ornatus	1	2
Dolichancistrus_cobrensis	1	2
Sciades_dowii	1	2
Heteropneustes_fossilis	1	2
Zenopsis_conchifer	1	2
Sturisoma_sp._Schaefer_1987	1	2
Sebastes_vulpes	1	2
Panaqolus_albomaculatus	1	2
Notropis_girardi	1	2
Pimelodus_maculatus	1	2
Cygnodraco_mawsoni	1	2
Oryzias_javanicus	1	2
Adrianichthys_kruyti	1	2
Luxilus_cerasinus	1	2
Aspidoras_albater	1	2
Pterygoplichthys_punctatus	1	2
Cyprinella_nivea	1	2
Cheilinus_trilobatus	1	2
Cheilinus_chlorourus	1	2
Catostomus_sp._Fink_and_Fink_1981	1	2
Malapterurus_microstoma	1	2
Oryzias_orthognathus	1	2
Cyprinella_zanema	1	2
Labridae	1	1
Ictalurus_dugesii	1	2
Chrysichthys_habereri	1	2
Pseudobagrus_brevianalis	1	2
Aptocyclus_ventricosus	1	2
Farlowella_sp._Britto_2003	1	2
Loricaria_sp._Friel_1994	1	2
Neoarius_pectoralis	1	2
Artedidraconidae	1	2
Acestrorhynchus_microlepis	1	2
Scorpiodoras_heckelii	1	2
Cyprinella_labrosa	1	2
Oreoglanis_siamensis	1	2
Cyprinus_carpio	1	2
Loricariinae_sp._Friel_1994	1	2
Microsternarchus_bilineatus	1	2
Typhlichthys_subterraneus	1	1
Corydoras_septentrionalis	1	2
Liposarcus_sp._Friel_1994	1	2
Sebastiscus_marmoratus	1	2
Trichomycterus_albinotatus	1	2
Paradistichodus_dimidiatus	1	2
Trichomycterus_taenia	1	2
Notropis_chihuahua	1	2
Silonia_silondia	1	2
Leiocassis_poecilopterus	1	2
Mastacembelus_ophidium	1	1
Cottidae	1	1
Brachyrhamdia_meesi	1	2
Hexanematichthys_sagor	1	2
Phenacogrammus_urotaenia	1	2
Sebastes_owstoni	1	2
Elops_hawaiensis	1	2
Cyclopterus_lumpus	1	2
Listrura_boticario	1	1
Brachypetersius_notospilus	1	2
Ernstichthys_megistus	1	2
Barbus_callensis	1	2
Pseudeutropius_atherinoides	1	2
Phoxinus_cumberlandensis	1	2
Xiurenbagrus_xiurenensis	1	2
Aetapcus	1	1
Creediidae	1	1
Otocinclus_vestitus	1	2
Chrysichthys_brachynema	1	2
Evermannella_balbo	1	2
Pseudomystus_moeschii	1	2
Farlowella_sp._Schaefer_1987	1	2
Bunocephalus_knerii	1	2
Hypostomus_bolivianus	1	2
Schilbe_congensis	1	2
Polymixia_lowei	1	2
Schizolecis_sp._Britto_2003	1	2
Taunayia_bifasciata	1	2
Brachypleura_novaezeelandiae	1	2
Brachyhypopomus_brevirostris	1	2
Parona_signata	1	1
Simpsonichthys_parallelus	1	1
Schizolecis_guntheri	1	2
Sternarchogiton_nattereri	1	2
Phractura_ansorgii	1	2
Monodactylus	1	1
Nemapteryx_armiger	1	2
Harpagiferidae	1	2
Barbatula_barbatula	1	2
Noturus_insignis	1	2
Paraliparis_garmani	1	2
Lefua_costata	1	2
Neoarius_taylori	1	2
Hoplomyzon_papillatus	1	2
Rharbichthys_ferox	1	2
Lindbergichthys	1	2
Sternopygus_macrurus	1	2
Sperata_seenghala	1	2
Mystus_leucophasis	1	2
Pterygoplichthys_gibbiceps	1	2
Platygobio_gracilis	1	2
Batrachocephalus_mino	1	2
Hypopomus_artedi	1	2
Cephalocassis_borneensis	1	2
Pseudancistrus_barbatus	1	2
Antennariidae	1	1
Dinotopterus_cunningtoni	1	2
Macrurocyttus_acanthopodus	1	2
Dolichallabes_microphthalmus	0	0
Trichomycteridae	1	1
Hemiancistrus_megacephalus	1	2
Cetopsis_baudoensis	1	2
Pseudomystus_robustus	1	2
Stichaeidae	1	1
Micralestes_cf._acutidens_Zanata_and_Vari_2005	1	2
Platytroctes_apus	1	1
Cryothenia	1	2
Malacosteus_niger	1	1
Micralestes_occidentalis	1	2
Poecilocharax_sp._Fink_and_Fink_1981	1	2
Pseudancistrus_orinoco	1	2
Aethotaxis	1	2
Pseudotriacanthus_strigilifer	1	2
Diplomystus_dentatus	1	2
Pseudobunocephalus_lundbergi	1	2
Chanos_chanos	1	2
Corydoras_guapore	1	2
Otocinclus_vittatus	1	2
Phoxinus_phoxinus	1	2
Microsynodontis_batesii	1	2
Chiloglanis_sp._F_Vigliotta_2008	1	2
Tatia_strigata	1	2
Amissidens_hainesi	1	2
Misgurnus_mizolepis	1	2
Siganus_luridus	1	2
Oryzias_celebensis	1	2
Leptorhamdia_marmorata	1	2
Loricariidae	1	2
Chiloglanis_sp._E_Vigliotta_2008	1	2
Notropis_calientis	1	2
Botia_dayi	1	2
Lebiasina_bimaculata	1	2
Neoplecostomus_sp._Schaefer_1991	1	2
Notropis_nubilus	1	2
Monopterus_boueti	0	0
Umbra_krameri	1	2
Rita_chrysea	1	2
Symphodus	1	2
Hisonotus_notatus	1	2
Ageneiosus_cf._guianensis_Mo_1991	1	2
Brycinus_carolinae	1	2
Ancharius	1	2
Phractura_lindica	1	2
Lophichthyidae	1	2
Tatia_galaxias	1	2
Paralepis_coregonoides	1	2
Chaudhuria	1	1
Bunocephalus_n._sp._4_Friel_1994	1	2
Hybopsis_winchelli	1	2
Phenacogrammus_ansorgii	1	2
Pataecidae	1	1
Ladigesia_roloffi	1	2
Hypoptychus_dybowskii	1	1
Notropis_candidus	1	2
Hypoptopoma_steindachneri	1	2
Hypopomidae	1	1
Synodontis_victoriae	1	2
Leptorhamdia_sp._Bockmann_1998	1	2
Prochilodus_lineatus	1	2
Acrochordonichthys_rugosus	1	2
Notropis_sabinae	1	2
Plectocretacicus_clarae	1	2
Chiloglanis_batesii	1	2
Mastacembelus_vanderwaali	1	1
Echeneis_naucrates	1	2
Bunocephalus_colombianus	1	2
Cetopsorhamdia_boquillae	1	2
Parachaenichthys_charcoti	1	2
Notropis_perpallidus	1	2
Batrochoglanis_villosus	1	2
Lamprogrammus_niger	1	1
Roestes_ogilviei	1	2
Phallostethidae	1	1
Erimonax_monachus	1	2
Etrumeus_teres	1	2
Oryzias_hubbsi	1	2
Xyliphius_magdalenae	1	2
Parakysis_anomalopteryx	1	2
Pareiorhaphis_splendens	1	2
Austroglanis_gilli	1	2
Acanthopsoides_graciroides_Sawada_1982	1	2
Lefua_echigonia	1	2
Nematogenyidae	1	2
Hemibagrus_menoda	1	2
Hemiodus_semitaeniatus	1	2
Bunocephalus_sp._3_Chen_1994	1	2
Cobitis_biwae	1	2
Luisichthys_vinalesensis	1	2
Opisthopterus_equatorialis	1	1
Ancistrus_pirareta	1	2
Leiocassis_saravacensis	1	2
Notoscopelus_resplendens	1	2
Aspredinichthys_tibicen	1	2
Roestes_molossus	1	2
Notropis_ortenburgeri	1	2
Gymnarchus_niloticus	1	1
Pinguipedidae	1	2
Parotocinclus_polyochrus	1	2
Chaetostoma_stannii	1	2
Bihunichthys_monopteroides	1	1
Bagre_bagre	1	2
Hybognathus_hankinsoni	1	2
Phoxinus_eos	1	2
Lamprogrammus_fragilis	1	1
Saurida_gracilis	1	2
Morone_americana	1	2
Halecomorphi	1	2
Stomiidae	?	?
Notropis_buchanani	1	2
Glyptothorax_trilineatus	1	2
Nettastomatidae	0	0
Notothenia	1	2
Synbranchus_madeirae	0	0
Harpagifer_antarcticus	1	2
Onuxodon	1	1
Spectracanthicus_murinus	1	2
Algansea_popoche	1	2
Cyprinella_galactura	1	2
Chiloglanis_niloticus	1	2
Dupouyichthys_sapito	1	2
Corydoras_maculifer	1	2
Lasiancistrus_caucanus	1	2
Cetopsorhamdia_sp._n._A_Bockmann_1998	1	2
Distichodus_maculatus	1	2
Cyema_atrum	1	1
Cheilinus_fasciatus	1	2
Distichodus_sp._Fink_and_Fink_1981	1	2
Astroblepus_chotae	1	2
Roeboides_sp._B_Lucena_and_Menezes_1998	1	2
Elops_saurus	1	2
Niwaella_multifasciata	1	2
Pseudotothyris_obtusa	1	2
Macroparalepis_affinis	1	2
Heptapteridae	1	2
Wetmorella_nigropinnata	1	2
Megupsilon_aporus	1	1
Charax_stenopterus	1	2
Pogonophryne_scotti	1	2
Erethistes_sp._Chen_1994	1	2
Stromateidae	1	1
Sudis_hyalina	1	2
Notropis_scabriceps	1	2
Notropis_rubellus	1	2
Sawbwa_resplendens	1	2
Hisonotus_candombe	1	2
Cetopsis_montana	1	2
Parodon_suborbitalis	1	2
Bryconamericus_brevirostris	1	2
Megalechis_thoracata	1	2
Chrysichthys_persimilis	1	2
Lamprogrammus_brunswigi	1	1
Cinetodus_crassilabris	1	2
Lythrurus_bellus	1	2
Plicofollis_argyropleuron	1	2
Hypostomus_albopunctatus	1	2
Alestopetersius_smykalai	1	2
Auchenoglanis_biscutatus	1	2
Citharinus_gibbosus	1	2
Pseudochromidae	1	1
Loricariichthys_brunneus	1	2
Glanidium_cesarpintoi	1	2
Parauchenoglanis_longiceps	1	2
Hexanematichthys_mastersi	1	2
Ancistrus_stigmaticus	1	2
Odontostomops_normalops	1	2
Nessorhamphus_ingolfianus	1	1
Notropis_amabilis	1	2
Glanidium_leopardum	1	2
Ipnops_agassizii	1	2
Glyptothorax_telchitta	1	2
Eleginops	1	2
Grammicolepis_brachiusculus	1	2
Cyematidae	1	1
Glyptothorax_cous	1	2
Aspredinidae	1	2
Micralestes_elongatus	1	2
Simpsonichthys_cholopteryx	1	1
Hemiarius_stormii	1	2
Acanthocobitis_botia	1	2
Thrissops_regleyi	1	2
Aspidoras_microgalaeus	1	2
Cranoglanis_bouderius	1	2
Congiopodus_peruvianus	1	2
Lagocephalus_laevigatus	1	2
Pseudopimelodus_mangurus	1	2
Rineloricaria_rupestris	1	2
Neoarius_leptaspis	1	2
Chaetostomus_sp._Britto_2003	1	2
Trichomycterus_zonatus	1	2
Caulophryne	1	1
Siphonognathus_argyrophanes	1	1
Allothrissops_mesogaster	1	2
Alestopetersius_caudalis	1	2
Akysis_sp._Friel_1994	1	2
Distocyclus_conirostris	1	2
Zenopsis_nebulosa	1	2
Hemipsilichthys?_Armbruster_2004	1	2
Akysis_sp._1_Chen_1994	1	2
Galaxiidae	1	1
Synodontis_acanthomias	1	2
Remora_brachyptera	1	2
Bagrichthys_macracanthus	1	2
Gelanoglanis_stroudi	1	2
Diplomystes_camposensis	1	2
Ictalurus_punctatus	1	2
Acestrorhynchus_grandoculis	1	2
Moenkhausia_lepidura	1	2
Cynopotamus_kincaidi	1	2
Platyurosternarchus_macrostomus	1	2
Auchenipteridae	1	2
Himantolophidae	1	1
Microglanis_eurystoma	1	2
Charitosomous_lineolatus	1	2
Mystus_cavasius	1	2
Hydrocynus_forskahlii	1	2
Scopelosaurus_argenteus	1	2
Brycinus_brevis	1	2
Corydoras_rabauti	1	2
Tricuspidalestes_caeruleus	1	2
Nemacheilus_savona	1	2
Hypophthalmidae	1	2
Synodontis_congica	1	2
Oryzias_sinensis	1	2
Gigantura_indica	1	1
Cryptacanthodidae	1	2
Notropis_wickliffi	1	2
Stomias_boa	1	1
Notropis_greenei	1	2
Racenisia_fimbriipinna	1	2
Cyprinella_whipplei	1	2
Evermannellidae	1	2
Yuriria_alta	1	2
Mystus_keletius	1	2
Hesperoleucus_symmetricus	1	2
Cetopsidium_morenoi	1	2
Rhamphichthys_rostratus	1	2
Notropis_maculatus	1	2
Corydoras_flaveolus	1	2
Limatulichthys_griseus	1	2
Chrysichthys_ansorgii	1	2
Gymnocorymbus_sp._Fink_and_Fink_1981	1	2
Acrochordonichthys_pachyderma	1	2
Rhinichthys_atratulus	1	2
Pseudoplesiops	1	1
Gilbertolus_maracaiboensis	1	2
Ichthyodectiformes	1	2
Synodontis_gambiensis	1	2
Oryzias_luzonensis	1	2
Benthalbella_macropinna	1	2
Lamontichthys_llanero	1	2
Cypriniformes	1	2
Pseudacanthicus_leopardus	1	2
Gila_crassicauda	1	2
Pseudobunocephalus_sp._Friel_1994	1	2
Megalancistrus_sp._Schaefer_1987	1	2
Naso_unicornis	1	2
Dallia_pectoralis	1	2
Aphyonidae	1	1
Astroblepus_whymperi	1	2
Corydoras_pygmaeus	1	2
Pseudotothyris_sp._Schaefer_1991	1	2
Neochanna_diversus	1	1
Xiphias_gladius	1	1
Trichomycterus_alternatus	1	2
Olyra_longicaudata	1	2
Pimelodus_albicans	1	2
Zeidae	1	2
Neotropius_khavalchor	1	2
Neoceratias_spinifer	1	1
Oxyropsis_sp._Schaefer_1991	1	2
Nedystoma_dayi	1	2
Genus_7_sp._Bockmann_1998	1	2
Pimelodus_blochii	1	2
Glanidium_albescens	1	2
Eumicrotremus_orbis	1	2
Lestrolepis_intermedia	1	2
Cetopsis_candiru	1	2
Astroblepus_festae_sp._3_Mo_1991	1	2
Olyridae	1	2
Ageneiosus_inermis	1	2
Distichodus_notospilus	1	2
Bagre_marinus	1	2
Denticetopsis_seducta	1	2
Atopodontus	1	2
Corydoras_paleatus	1	2
Cheilinus_undulatus	1	2
Ictalurus_sp._Fink_and_Fink_1981	1	2
Aspidoras_rochai	1	2
Gerlachea_australis	1	2
Synodontis_angelica	1	2
Acestrorhynchus_altus	1	2
Mastacembelus_moorii	1	1
Netuma_proxima	1	2
Bathysauropsis_malayanus	1	2
Alepisaurus_ferox	1	2
Pterygoplichthys_pardalis	1	2
Charax_unimaculatus	1	2
Trinectes_maculatus	0	0
Vandellia_sp._Fink_and_Fink_1981	1	2
Corydoras_baderi	1	2
Neoscopelus_macrolepidotus	1	2
Oxyropsis_carinata	1	2
Helicolenus_hilgendorfii	1	2
Eremichthys	1	2
Cetopsidium_orientale	1	2
Pseudaphritis_urvillii	1	2
Silurus_lithophilus	1	2
Aulorhynchus_flavidus	1	2
Parodon_caliensis	1	2
Gasterosteus_aculeatus	1	1
Mastacembelus_stappersii	1	1
Eumecichthys_fiski	1	1
Bagrus_meridionalis	1	2
Tarletonbeania_crenularis	1	2
Vomeridens_infuscipinnis	1	2
Pectinochromis_lubbocki	1	1
Cyprinodon_diabolis	1	1
Bagroides_melapterus	1	2
Phenacobius_uranops	1	2
Bulbonaricus	0	0
Aseraggodes_holcomi	0	0
Lythrurus_umbratilis	1	2
Pseudomystus_breviceps	1	2
Oryzias_uwai	1	2
Notropis_procne	1	2
Brycinus_nurse	1	2
Lavinia_exilicauda	1	2
Synodontis_acanthoperca	1	2
Notropis_uranoscopus	1	2
Bathymicrops_regis	1	2
Chrysichthys_sianenna	1	2
Mystus_nigriceps	1	2
Careproctus_cypselurus	1	2
Ernstichthys_anduzei	1	2
Synodontis_clarias	1	2
Trachinocephalus_myops	1	2
Hoplosternum_littorale	1	2
Schistura_breviceps	1	2
Mystus_gulio	1	2
Blennodesmus	1	1
Stylephorus_chordatus	1	1
Noturus_stigmosus	1	2
Acestrorhynchus_abbreviatus	1	2
Protoclupea_atacamensis	1	2
Bothidae	1	1
Synodontis_?_sp._Royero_1999	1	2
Typhlobelus_macromycterus	1	1
Centromochlus_megalops	1	2
Amarginops_platus	1	2
Iheringichthys_labrosus	1	2
Alabes_dorsalis	0	0
Conniella_apterygia	1	1
Cyttus_traversi	1	2
Cyprinella_callistia	1	2
Kaupichthys	1	1
Synodontis_rebeli	1	2
Opisthopterus_macrops	1	1
Campostoma_oligolepis	1	2
Saurorhamphus_freyeri	1	2
Monodactylidae	1	1
Myxocyprinus_asiaticus	1	2
Corydoras_xinguensis	1	2
Pterobunocephalus_depressus	1	2
Paraconger	1	1
Nagaichthys_filipes	1	1
Tharsis	1	2
Parasudis_truculenta	1	2
Channidae	1	1
Paraliparis_bathybius	1	2
Astroblepus_boulengeri	1	2
Osteoglossidae	1	1
Tatia_gyrina	1	2
